id,fullname,age,gender,math_grade,literature_grade,attendance,participation,homework,midterm_grade,final_grade
45,Бекмурзаев Асель,21,female,64,93,64,low,8,79,89
46,Сариев Эрмек,23,female,92,50,72,high,5,78,87
47,Исмаилов Назгуль,18,female,93,62,96,high,3,51,99
48,Бекмурзаев Жамиля,18,male,73,83,56,medium,3,64,61
49,Токтосунов Бегимай,23,male,67,81,98,high,1,77,88
50,Кубатбеков Гулнара,25,male,94,88,87,low,5,79,73
51,Сариев Асель,23,male,86,64,66,high,3,54,58
52,Шаршенов Гулнара,19,male,51,57,50,medium,1,57,83
53,Жумабаев Бакыт,23,female,100,65,64,low,2,80,96
54,Кубатбеков Бакыт,23,female,67,97,84,medium,5,72,63
55,Кубатбеков Жанат,18,female,94,94,72,high,8,86,68
56,Бекмурзаев Бакыт,22,female,53,81,62,medium,2,72,53
57,Жумабаев Бакыт,19,male,62,53,93,medium,2,91,100
58,Токтосунов Азиз,25,female,56,57,94,high,5,71,79
59,Усенов Гулнара,25,male,78,74,52,medium,4,96,59
60,Токтосунов Кундуз,24,female,71,94,57,medium,9,74,88
61,Кудайбергенов Жамиля,20,female,70,78,89,medium,4,87,83
62,Усенов Нурлан,24,female,69,58,70,high,10,58,57
63,Бекмурзаев Назгуль,24,male,79,69,71,medium,9,67,97
64,Исмаилов Жанара,18,male,91,72,94,low,6,85,85
65,Кубатбеков Азиз,25,female,60,79,52,low,6,89,87
66,Кудайбергенов Айжан,22,male,77,76,83,low,5,60,69
67,Исмаилов Назгуль,22,female,62,53,58,low,3,66,57
68,Шаршенов Айбек,21,female,72,98,78,high,9,88,53
69,Кубатбеков Жамиля,20,male,51,79,74,high,8,60,59
70,Шаршенов Асель,18,male,100,87,96,medium,8,99,88
71,Кудайбергенов Назгуль,22,male,65,68,75,high,8,100,65
72,Бекмурзаев Жамиля,19,male,62,79,97,high,5,84,60
73,Шаршенов Нурлан,18,male,70,100,79,high,5,58,61
74,Кубатбеков Бакыт,21,male,77,72,52,low,8,79,57
75,Асанов Эрмек,24,male,94,66,59,high,1,53,87
76,Кудайбергенов Нурлан,24,male,82,65,79,medium,2,100,95
77,Исмаилов Асель,24,female,97,89,98,low,7,63,81
78,Исмаилов Кундуз,23,male,84,52,55,high,5,89,56
79,Исмаилов Жанара,20,female,65,98,63,medium,5,69,94
80,Сариев Гулнара,20,male,53,54,57,high,9,83,62
81,Токтосунов Эльмира,20,male,55,64,54,medium,8,79,68
82,Жумабаев Жанат,25,female,81,58,53,low,5,66,58
83,Сариев Бакыт,25,male,68,69,70,medium,9,96,95
84,Кубатбеков Рустам,21,female,97,70,57,low,6,93,54
85,Кубатбеков Азиз,23,female,84,98,83,high,5,68,84
86,Усенов Жамиля,25,male,63,71,50,low,4,66,84
87,Жумабаев Асель,20,male,51,84,95,low,6,71,79
88,Кубатбеков Бегимай,22,male,76,63,77,low,2,62,97
89,Кубатбеков Азиз,24,male,59,77,68,low,5,97,88
90,Сариев Жамиля,20,female,65,85,73,low,8,53,52
91,Сариев Бегимай,21,male,85,52,82,low,3,90,94
92,Усенов Назгуль,18,male,59,51,94,medium,0,53,83
93,Кудайбергенов Кундуз,19,female,93,64,72,high,7,56,53
94,Токтосунов Жанат,22,female,57,60,50,medium,9,100,85
95,Кубатбеков Канат,22,female,82,84,81,medium,4,73,53
96,Бекмурзаев Рустам,19,male,50,63,77,high,4,87,95
97,Сариев Айжан,25,male,62,57,66,high,6,99,88
98,Усенов Бакыт,18,male,50,99,55,high,5,89,82
99,Шаршенов Тимур,21,female,57,77,60,medium,3,60,50
100,Токтосунов Асель,23,female,71,60,91,low,0,72,91
101,Токтосунов Бегимай,25,male,83,85,71,medium,8,69,58
102,Токтосунов Жанара,18,female,78,89,84,high,6,53,61
103,Шаршенов Эльмира,18,female,84,92,55,low,4,81,83
104,Кубатбеков Бакыт,19,male,52,91,80,high,3,56,90
105,Кудайбергенов Бегимай,25,female,67,68,55,medium,7,87,98
106,Асанов Рустам,22,female,96,52,98,medium,10,76,71
107,Кубатбеков Айгуль,19,female,51,90,94,low,9,50,58
108,Исмаилов Нурлан,23,male,91,58,78,medium,8,88,95
109,Жумабаев Асель,25,male,91,71,95,low,6,52,81
110,Исмаилов Гулнара,22,female,63,55,66,medium,10,52,67
111,Исмаилов Жанара,24,male,78,69,52,medium,9,93,91
112,Асанов Рустам,21,female,61,92,63,low,2,54,86
113,Шаршенов Назгуль,22,male,88,75,99,high,5,81,74
114,Сариев Жанара,19,female,51,56,89,high,6,91,52
115,Исмаилов Эрмек,24,male,50,66,91,medium,0,63,74
116,Сариев Эрмек,19,female,99,77,93,low,4,58,87
117,Шаршенов Марат,21,female,90,55,64,medium,7,74,99
118,Сариев Жанат,24,female,50,97,69,low,1,83,56
119,Жумабаев Эрмек,21,male,71,74,50,low,1,95,61
120,Асанов Гулнара,23,male,58,76,76,medium,2,58,85
121,Асанов Айжан,24,female,57,72,88,high,8,95,84
122,Усенов Жанара,21,female,52,90,94,medium,5,51,50
123,Токтосунов Марат,18,male,85,100,60,high,9,89,90
124,Сариев Азиз,24,female,68,95,67,medium,0,66,92
125,Кудайбергенов Марат,19,male,64,94,58,high,1,61,60
126,Жумабаев Бегимай,19,female,69,61,70,high,4,76,99
127,Бекмурзаев Марат,25,female,89,90,93,medium,9,54,70
128,Сариев Нурлан,23,male,81,80,60,low,5,50,59
129,Исмаилов Жамиля,25,female,59,86,70,medium,1,91,56
130,Жумабаев Назгуль,24,female,100,55,98,medium,0,78,84
131,Бекмурзаев Марат,18,female,81,62,68,low,1,72,60
132,Сариев Асель,24,female,97,85,61,high,2,67,58
133,Усенов Марат,24,male,55,78,85,medium,5,80,62
134,Кудайбергенов Канат,25,female,89,98,61,low,4,88,66
135,Сариев Азиз,19,female,85,84,51,high,6,65,83
136,Шаршенов Гулнара,22,female,52,50,90,high,1,61,65
137,Асанов Марат,24,female,66,70,96,medium,6,83,99
138,Кубатбеков Жамиля,24,female,96,55,64,medium,5,62,56
139,Токтосунов Айгуль,23,male,75,78,92,medium,4,81,93
140,Токтосунов Канат,21,male,82,53,67,medium,5,92,69
141,Исмаилов Гулнара,23,female,61,52,82,low,7,56,57
142,Жумабаев Кундуз,24,female,63,88,67,high,6,59,88
143,Жумабаев Айгуль,22,male,100,54,81,high,9,65,51
144,Жумабаев Рустам,20,male,86,93,71,medium,3,64,59
145,Кубатбеков Гулнара,18,female,86,100,65,low,10,91,95
146,Кубатбеков Айжан,19,male,89,99,61,medium,5,50,80
147,Исмаилов Айжан,19,female,69,58,73,high,3,58,51
148,Исмаилов Айбек,18,female,74,54,60,medium,9,81,95
149,Асанов Айбек,20,female,84,94,99,low,2,66,72
150,Кудайбергенов Жанат,21,female,61,90,84,high,1,84,81
151,Токтосунов Бакыт,25,female,93,56,92,medium,9,56,89
152,Кубатбеков Бегимай,21,male,76,66,90,medium,5,82,50
153,Сариев Эрмек,22,female,65,100,54,high,10,53,100
154,Усенов Айгуль,23,male,78,53,81,low,10,74,88
155,Сариев Эрмек,22,male,95,94,69,high,9,67,71
156,Сариев Жанат,25,female,50,82,72,high,9,98,89
157,Кубатбеков Назгуль,23,male,69,94,76,medium,9,60,85
158,Сариев Тимур,19,female,70,63,57,high,2,59,85
159,Кубатбеков Бакыт,24,male,57,77,84,high,0,76,77
160,Бекмурзаев Эльмира,22,male,92,51,62,medium,10,55,94
161,Сариев Рустам,20,male,76,52,54,medium,10,84,100
162,Шаршенов Тимур,18,male,78,66,50,high,1,71,53
163,Кубатбеков Азиз,23,male,87,50,53,medium,4,63,57
164,Шаршенов Айбек,23,female,88,88,90,low,4,85,63
165,Шаршенов Назгуль,21,female,96,99,99,medium,9,87,63
166,Асанов Айбек,24,male,88,80,93,medium,9,63,63
167,Асанов Жанат,19,male,63,84,59,medium,5,60,67
168,Шаршенов Азиз,21,female,66,91,77,low,9,80,55
169,Бекмурзаев Тимур,22,male,54,96,71,medium,1,81,99
170,Исмаилов Кундуз,22,male,83,97,75,low,7,86,61
171,Усенов Азиз,25,male,56,60,91,low,8,77,74
172,Асанов Жанара,19,male,75,58,78,low,3,77,61
173,Кубатбеков Айгуль,19,female,94,70,55,high,2,80,57
174,Усенов Жамиля,25,male,65,86,74,medium,6,83,58
175,Кубатбеков Нурлан,20,male,89,81,72,medium,6,57,69
176,Кубатбеков Эрмек,23,male,79,67,75,high,5,66,93
177,Жумабаев Бегимай,23,female,76,60,59,high,3,70,71
178,Кубатбеков Канат,22,male,65,57,57,low,4,79,79
179,Бекмурзаев Эрмек,24,male,67,87,53,high,10,68,52
180,Бекмурзаев Тимур,18,male,99,63,69,medium,4,54,75
181,Шаршенов Жанара,22,male,50,65,59,medium,8,64,70
182,Жумабаев Бегимай,25,male,65,79,83,medium,9,98,98
183,Кудайбергенов Нурлан,20,female,90,69,94,low,0,61,99
184,Усенов Тимур,23,female,84,61,54,high,2,91,67
185,Токтосунов Бегимай,18,male,62,78,72,high,0,93,96
186,Бекмурзаев Жанат,23,male,82,52,72,high,8,53,51
187,Исмаилов Жамиля,22,female,66,64,64,medium,1,57,75
188,Кубатбеков Тимур,25,male,68,99,54,low,10,51,76
189,Бекмурзаев Марат,23,male,63,82,83,low,1,85,94
190,Исмаилов Кундуз,23,male,64,92,51,low,1,98,54
191,Шаршенов Эрмек,21,female,93,68,79,medium,6,69,51
192,Жумабаев Тимур,24,female,58,72,92,low,0,83,76
193,Усенов Рустам,23,male,53,69,71,high,0,75,54
194,Асанов Назгуль,19,male,97,52,82,medium,5,57,86
195,Усенов Тимур,18,male,99,61,70,high,8,94,89
196,Бекмурзаев Жанат,18,male,81,77,76,medium,0,80,53
197,Исмаилов Назгуль,18,female,71,100,96,high,7,86,73
198,Шаршенов Асель,19,female,93,66,98,medium,4,62,60
199,Жумабаев Бакыт,18,female,92,72,58,high,4,81,56
200,Исмаилов Эльмира,24,male,81,87,77,low,9,97,65
201,Бекмурзаев Эльмира,19,female,91,79,56,high,6,50,89
202,Бекмурзаев Айгуль,24,female,68,55,60,low,9,65,82
203,Жумабаев Айжан,19,female,74,95,84,medium,9,78,51
204,Жумабаев Эльмира,24,male,71,63,62,medium,2,80,99
205,Шаршенов Айбек,25,female,87,98,91,low,6,61,93
206,Сариев Бакыт,19,male,69,93,78,low,3,55,69
207,Усенов Марат,19,female,91,82,55,high,1,68,91
208,Бекмурзаев Канат,22,male,87,55,84,medium,4,76,51
209,Сариев Рустам,22,male,75,69,53,high,10,82,68
210,Жумабаев Кундуз,21,female,53,86,75,high,3,69,92
211,Асанов Жанат,19,male,75,58,66,low,3,97,71
212,Асанов Эльмира,22,female,83,64,95,medium,9,52,97
213,Шаршенов Жанара,25,male,92,68,97,low,6,70,87
214,Кудайбергенов Нурлан,18,female,86,75,77,low,5,99,66
215,Жумабаев Кундуз,20,female,78,71,94,low,9,83,100
216,Сариев Асель,21,female,100,83,92,low,3,68,67
217,Усенов Гулнара,20,male,57,83,57,low,6,55,76
218,Бекмурзаев Нурлан,18,female,79,75,91,low,6,78,73
219,Асанов Айбек,20,male,99,54,75,high,10,88,60
220,Исмаилов Тимур,20,female,75,81,52,medium,1,65,75
221,Исмаилов Назгуль,21,female,53,78,96,medium,1,61,70
222,Кудайбергенов Тимур,25,male,69,65,61,medium,10,66,100
223,Усенов Асель,22,male,65,91,50,medium,5,69,80
224,Кудайбергенов Бегимай,20,female,69,69,68,high,9,61,94
225,Кубатбеков Марат,23,female,64,92,62,low,5,83,97
226,Кудайбергенов Рустам,22,male,61,68,75,medium,1,62,89
227,Токтосунов Жанара,22,female,65,57,68,medium,8,54,62
228,Усенов Канат,25,male,75,92,93,medium,5,59,78
229,Асанов Канат,22,male,62,74,100,low,8,100,62
230,Сариев Асель,24,male,51,73,96,high,7,90,90
231,Шаршенов Жамиля,19,male,62,60,93,low,10,71,80
232,Асанов Нурлан,21,male,83,71,83,low,10,56,69
233,Жумабаев Айгуль,21,male,56,99,56,high,2,54,89
234,Жумабаев Жамиля,25,female,51,98,56,high,5,52,57
235,Жумабаев Тимур,24,female,79,53,94,medium,4,53,97
236,Токтосунов Марат,23,male,74,63,81,low,3,58,85
237,Бекмурзаев Канат,18,male,99,93,54,low,3,94,57
238,Кудайбергенов Азиз,18,female,58,50,81,high,3,80,77
239,Токтосунов Асель,21,female,61,67,53,low,10,93,80
240,Кудайбергенов Жамиля,18,female,55,51,92,high,6,95,84
241,Жумабаев Азиз,22,female,62,100,74,high,6,82,90
242,Кубатбеков Эрмек,18,female,85,78,99,low,2,77,63
243,Шаршенов Бакыт,20,male,67,58,87,high,9,70,52
244,Сариев Бакыт,22,female,73,80,96,low,0,94,50
245,Бекмурзаев Жанара,21,female,85,82,86,medium,9,100,70
246,Жумабаев Жанара,21,male,79,91,91,medium,6,88,81
247,Шаршенов Гулнара,21,male,93,88,91,medium,10,78,90
248,Жумабаев Жамиля,19,male,75,80,56,high,3,63,83
249,Токтосунов Жамиля,19,female,80,62,65,high,7,86,66
250,Токтосунов Кундуз,22,male,64,79,73,high,8,62,57
251,Асанов Бакыт,22,female,51,66,61,medium,4,62,88
252,Кудайбергенов Марат,22,male,55,77,89,medium,0,89,75
253,Асанов Канат,25,female,64,90,63,medium,7,64,80
254,Жумабаев Айжан,19,female,75,64,87,low,10,69,59
255,Асанов Айбек,20,male,61,62,74,medium,1,88,92
256,Асанов Кундуз,23,female,80,78,100,medium,4,56,82
257,Сариев Нурлан,21,female,59,57,93,high,2,90,60
258,Жумабаев Гулнара,22,female,53,90,90,medium,9,89,50
259,Жумабаев Бегимай,25,male,58,94,75,high,6,74,70
260,Кудайбергенов Жанат,23,male,51,71,87,low,7,76,97
261,Усенов Нурлан,18,female,55,76,96,low,5,83,99
262,Бекмурзаев Рустам,20,female,83,67,63,low,5,98,74
263,Кудайбергенов Канат,18,female,90,85,61,low,1,78,57
264,Шаршенов Асель,24,male,65,67,96,high,10,63,56
265,Исмаилов Бегимай,23,male,75,59,81,low,5,90,54
266,Асанов Жанара,19,female,56,88,89,high,7,72,59
267,Шаршенов Кундуз,19,female,80,98,100,high,1,64,54
268,Шаршенов Бакыт,20,male,67,74,97,low,6,93,86
269,Жумабаев Жамиля,23,male,98,87,84,low,1,95,75
270,Бекмурзаев Асель,25,male,100,71,73,medium,3,83,51
271,Токтосунов Айгуль,22,male,64,77,79,medium,8,98,85
272,Бекмурзаев Рустам,25,male,65,68,78,medium,9,69,67
273,Кубатбеков Марат,22,male,65,79,53,medium,10,89,78
274,Жумабаев Бегимай,22,female,70,57,79,medium,7,61,75
275,Кубатбеков Айжан,18,male,63,63,57,high,9,93,76
276,Асанов Асель,19,female,89,76,98,low,6,65,57
277,Сариев Айбек,19,male,84,91,52,medium,7,79,56
278,Бекмурзаев Гулнара,25,male,64,67,77,low,10,84,50
279,Шаршенов Бегимай,20,female,87,90,83,high,6,87,89
280,Бекмурзаев Гулнара,23,female,87,100,69,low,10,63,61
281,Кудайбергенов Эрмек,22,male,93,77,93,high,7,75,74
282,Кудайбергенов Жамиля,24,male,84,50,63,low,6,82,87
283,Кудайбергенов Айбек,18,female,72,55,72,medium,0,87,52
284,Асанов Бакыт,18,male,92,71,86,high,5,92,65
285,Сариев Гулнара,23,female,59,93,84,high,5,53,71
286,Исмаилов Эрмек,19,male,56,86,96,high,1,84,79
287,Жумабаев Марат,20,female,80,94,79,high,4,82,72
288,Сариев Айгуль,23,male,98,58,76,high,3,97,59
289,Усенов Жанат,20,female,97,56,100,high,7,55,53
290,Шаршенов Рустам,21,male,61,93,67,medium,2,95,80
291,Кубатбеков Тимур,25,female,67,76,59,medium,9,95,82
292,Кубатбеков Айбек,18,male,71,80,94,low,1,97,73
293,Шаршенов Азиз,22,female,88,52,98,high,9,88,96
294,Шаршенов Айжан,24,male,92,54,74,low,9,61,87
295,Токтосунов Жанат,23,male,63,99,63,high,9,61,53
296,Жумабаев Нурлан,23,male,53,83,59,medium,4,55,80
297,Токтосунов Назгуль,23,female,68,90,64,low,7,97,75
298,Кудайбергенов Жанара,18,male,56,54,100,high,6,77,82
299,Бекмурзаев Асель,22,male,99,58,60,low,9,70,78
300,Шаршенов Жамиля,24,female,94,79,79,medium,7,99,62
301,Исмаилов Эльмира,21,male,56,93,65,low,10,97,98
302,Исмаилов Айжан,21,female,98,54,64,medium,10,79,80
303,Шаршенов Назгуль,23,male,88,86,55,high,7,64,94
304,Исмаилов Рустам,18,female,54,61,88,medium,3,80,63
305,Шаршенов Айжан,23,female,95,83,79,medium,1,69,55
306,Кудайбергенов Нурлан,23,female,96,94,83,high,8,66,86
307,Бекмурзаев Айбек,20,female,66,50,97,high,8,85,52
308,Кубатбеков Канат,18,female,84,75,77,high,2,95,53
309,Сариев Айжан,18,male,77,69,85,medium,7,69,88
310,Токтосунов Кундуз,23,male,62,95,63,low,1,51,68
311,Сариев Айжан,24,female,69,50,80,high,5,63,95
312,Сариев Айбек,20,male,99,100,59,high,0,91,82
313,Исмаилов Тимур,23,male,87,96,80,medium,8,100,67
314,Кубатбеков Гулнара,23,female,71,82,53,low,10,58,69
315,Кубатбеков Тимур,21,male,96,78,52,high,4,59,71
316,Сариев Рустам,19,male,50,62,71,medium,7,76,61
317,Кудайбергенов Эрмек,19,male,51,58,79,high,2,85,80
318,Бекмурзаев Жанат,24,male,54,60,65,medium,6,77,76
319,Асанов Марат,18,male,62,82,50,low,10,81,84
320,Токтосунов Жанат,18,male,71,73,80,high,10,98,63
321,Бекмурзаев Назгуль,25,male,55,81,73,low,2,66,68
322,Кубатбеков Азиз,18,male,61,53,76,medium,10,55,56
323,Исмаилов Рустам,24,male,73,74,95,high,7,90,67
324,Бекмурзаев Айгуль,22,male,83,94,73,medium,5,65,90
325,Кудайбергенов Айбек,25,female,51,90,82,low,7,64,83
326,Сариев Жанара,19,male,95,50,86,high,8,85,92
327,Шаршенов Жанара,24,male,100,93,91,medium,0,74,73
328,Кубатбеков Бегимай,21,male,72,73,64,medium,1,91,58
329,Асанов Асель,23,female,86,56,98,medium,4,64,51
330,Кубатбеков Кундуз,21,female,71,87,58,medium,2,60,66
331,Токтосунов Бакыт,23,female,81,58,55,medium,1,97,72
332,Бекмурзаев Айбек,23,female,98,78,63,high,5,72,76
333,Кубатбеков Эрмек,23,female,73,89,94,high,8,92,82
334,Токтосунов Бакыт,24,female,86,88,97,high,9,87,91
335,Бекмурзаев Жанат,21,male,73,54,89,high,1,71,53
336,Сариев Эльмира,25,male,75,55,88,medium,0,95,72
337,Асанов Айжан,18,female,82,81,59,high,10,100,80
338,Сариев Эрмек,25,female,93,76,82,medium,1,64,87
339,Шаршенов Жанара,25,female,85,99,95,high,3,89,89
340,Асанов Тимур,18,male,81,64,85,high,5,85,97
341,Бекмурзаев Азиз,23,female,94,57,55,low,9,85,64
342,Жумабаев Жамиля,21,male,74,87,93,high,1,90,94
343,Кубатбеков Айжан,25,male,80,63,59,medium,4,92,75
344,Бекмурзаев Айжан,24,male,62,69,90,medium,1,87,96
345,Исмаилов Жанара,25,female,88,59,92,medium,5,53,75
346,Токтосунов Айжан,23,male,86,73,67,low,7,86,72
347,Сариев Тимур,19,female,79,65,60,low,9,87,99
348,Кубатбеков Жамиля,23,female,55,92,65,medium,3,79,57
349,Усенов Рустам,25,female,50,96,87,low,2,90,76
350,Усенов Жамиля,23,female,68,97,89,high,8,93,98
351,Шаршенов Азиз,22,female,73,94,66,medium,4,84,93
352,Жумабаев Эрмек,18,female,86,93,60,low,0,58,60
353,Кубатбеков Назгуль,21,female,90,82,77,low,4,64,75
354,Жумабаев Эльмира,22,male,84,64,72,low,5,97,75
355,Асанов Бакыт,21,male,91,89,66,medium,8,62,91
356,Бекмурзаев Асель,24,male,72,56,78,medium,1,90,84
357,Сариев Айбек,23,female,81,77,54,medium,8,62,60
358,Асанов Жамиля,23,male,89,71,50,medium,4,87,59
359,Асанов Азиз,24,male,79,58,64,high,1,92,82
360,Сариев Бегимай,19,female,73,92,78,medium,1,93,53
361,Бекмурзаев Асель,20,female,88,63,84,medium,8,69,94
362,Бекмурзаев Айжан,19,female,56,66,57,medium,0,67,71
363,Шаршенов Эрмек,20,male,96,78,77,high,9,90,85
364,Кудайбергенов Айжан,20,male,78,54,76,high,2,79,80
365,Токтосунов Жанара,22,male,61,50,70,medium,2,56,51
366,Асанов Жанат,20,female,68,93,75,high,4,71,50
367,Асанов Жамиля,25,female,99,80,80,high,3,77,59
368,Шаршенов Канат,19,male,65,91,75,high,6,88,99
369,Шаршенов Жанара,23,male,61,69,98,high,10,55,64
370,Токтосунов Тимур,23,male,87,72,91,high,2,50,91
371,Кудайбергенов Эрмек,24,female,84,51,54,low,8,86,97
372,Кудайбергенов Жамиля,22,female,57,94,73,high,3,79,84
373,Исмаилов Эрмек,21,female,60,86,84,high,1,60,68
374,Исмаилов Жанат,18,female,62,82,63,low,8,94,58
375,Исмаилов Жанат,19,male,94,91,78,high,9,80,84
376,Бекмурзаев Айбек,19,male,72,96,63,low,0,58,56
377,Сариев Айбек,20,female,58,81,55,high,2,67,57
378,Кубатбеков Айбек,25,male,71,88,58,high,8,54,58
379,Жумабаев Эльмира,23,female,50,94,78,low,2,52,67
380,Кубатбеков Азиз,25,male,75,75,85,medium,6,61,81
381,Асанов Эльмира,19,female,90,78,94,low,2,71,85
382,Кудайбергенов Жанара,25,male,81,100,59,high,8,76,69
383,Токтосунов Жанара,22,male,90,83,99,low,8,88,76
384,Шаршенов Марат,25,male,94,87,100,high,9,70,83
385,Усенов Эрмек,20,male,78,58,61,medium,10,52,98
386,Асанов Эрмек,21,male,60,97,69,low,7,88,59
387,Шаршенов Жамиля,18,female,85,73,74,medium,5,61,94
388,Бекмурзаев Айбек,25,female,55,59,71,low,10,61,77
389,Кубатбеков Азиз,25,male,61,53,92,high,10,97,84
390,Исмаилов Жанара,20,male,68,79,98,low,3,96,53
391,Кубатбеков Эрмек,21,male,96,62,83,low,2,52,79
392,Жумабаев Тимур,24,male,65,55,97,low,2,59,91
393,Кубатбеков Тимур,22,male,57,97,64,medium,10,57,78
394,Сариев Тимур,24,male,91,67,100,medium,9,62,66
395,Асанов Назгуль,22,male,80,95,63,medium,0,57,63
396,Кубатбеков Кундуз,25,female,67,87,53,high,9,65,90
397,Бекмурзаев Бегимай,21,male,63,95,85,medium,5,57,64
398,Жумабаев Назгуль,18,female,59,80,56,high,2,67,64
399,Кудайбергенов Айгуль,21,female,64,95,68,medium,4,90,56
400,Шаршенов Айжан,19,male,64,55,70,medium,2,64,55
401,Жумабаев Назгуль,25,female,92,95,97,high,7,85,51
402,Кудайбергенов Бакыт,18,male,85,100,96,high,8,63,60
403,Усенов Жамиля,25,female,60,80,98,low,10,60,78
404,Исмаилов Жамиля,23,female,65,50,95,low,7,90,73
405,Кубатбеков Нурлан,18,male,61,77,85,high,2,91,89
406,Асанов Айжан,18,female,73,97,80,high,2,91,51
407,Шаршенов Жанат,20,female,77,93,83,medium,10,79,74
408,Сариев Нурлан,21,female,100,86,69,medium,8,85,90
409,Токтосунов Айжан,25,male,70,81,95,high,4,87,88
410,Кудайбергенов Айбек,21,male,62,88,75,medium,1,92,68
411,Токтосунов Гулнара,21,male,58,73,51,high,2,80,100
412,Бекмурзаев Тимур,24,female,96,67,97,medium,7,77,65
413,Исмаилов Эрмек,18,male,67,73,82,low,3,77,78
414,Шаршенов Айжан,20,female,66,100,96,low,5,60,50
415,Шаршенов Гулнара,23,female,73,93,86,medium,2,64,67
416,Жумабаев Бегимай,20,female,82,59,90,low,8,66,87
417,Бекмурзаев Асель,20,male,72,97,79,high,9,53,51
418,Сариев Жамиля,22,male,86,54,93,high,10,68,51
419,Жумабаев Айбек,21,female,52,89,78,medium,10,65,95
420,Токтосунов Жанара,21,female,78,97,92,medium,1,67,68
421,Токтосунов Айжан,19,female,96,51,97,medium,1,75,80
422,Кудайбергенов Назгуль,18,male,64,79,81,low,3,50,75
423,Шаршенов Тимур,19,female,54,88,64,medium,10,64,63
424,Шаршенов Жанат,21,female,86,95,58,high,9,78,66
425,Сариев Рустам,24,female,68,95,58,medium,9,92,95
426,Асанов Канат,18,male,95,53,90,low,1,89,97
427,Шаршенов Жамиля,24,male,52,88,55,low,6,79,57
428,Сариев Бегимай,18,male,65,73,88,medium,10,56,58
429,Исмаилов Азиз,20,male,87,54,59,high,1,61,83
430,Исмаилов Айбек,22,female,82,83,54,low,3,53,98
431,Жумабаев Назгуль,22,male,56,58,70,high,4,56,91
432,Асанов Назгуль,18,female,86,74,57,high,3,66,74
433,Асанов Айгуль,24,female,86,51,70,medium,4,53,53
434,Кубатбеков Жанат,22,male,83,60,72,low,1,81,58
435,Исмаилов Эльмира,21,male,76,82,87,low,6,57,76
436,Кубатбеков Эльмира,25,female,74,66,82,low,1,78,68
437,Шаршенов Жанат,21,female,81,51,73,low,1,66,95
438,Кудайбергенов Гулнара,20,male,99,69,76,medium,8,70,73
439,Усенов Марат,25,male,79,94,100,low,8,80,58
