id,fullname,age,gender,math_grade,literature_grade,attendance,participation,homework,midterm_grade,final_grade
201,Бекмурзаев Канат,25,male,91,82,61,medium,4,71,75
202,Шаршенов Айжан,19,female,99,86,98,medium,3,99,80
203,Жумабаев Рустам,19,male,52,86,86,high,1,83,52
204,Токтосунов Асель,23,male,77,70,67,medium,8,53,85
205,Кубатбеков Жамиля,19,male,82,71,73,high,3,67,77
206,Бекмурзаев Кундуз,18,female,80,50,77,medium,4,82,69
207,Кудайбергенов Бегимай,18,female,92,95,99,high,4,68,92
208,Кубатбеков Канат,23,female,87,50,96,low,8,63,99
209,Шаршенов Бакыт,18,male,85,96,71,low,1,90,98
210,Кудайбергенов Нурлан,18,male,78,59,96,low,2,82,68
211,Исмаилов Айбек,21,male,95,58,63,high,0,70,76
212,Усенов Рустам,18,female,54,65,65,low,7,57,72
213,Исмаилов Бакыт,25,male,99,98,65,low,5,99,69
214,Жумабаев Эрмек,21,male,93,90,62,low,7,63,53
215,Кудайбергенов Канат,20,male,98,98,100,low,3,78,59
216,Усенов Бакыт,24,female,67,61,70,low,8,87,86
217,Усенов Бакыт,19,male,72,50,98,medium,8,67,78
218,Жумабаев Назгуль,19,male,99,68,58,medium,6,75,94
219,Кудайбергенов Марат,23,female,59,53,89,high,5,67,75
220,Асанов Нурлан,22,male,95,50,94,medium,8,76,71
221,Шаршенов Бегимай,18,female,57,94,65,medium,4,76,60
222,Кудайбергенов Марат,20,male,65,66,51,low,8,93,68
223,Асанов Асель,20,female,92,53,58,low,9,82,97
224,Бекмурзаев Рустам,22,male,67,51,61,medium,6,67,51
225,Кубатбеков Айгуль,23,male,70,65,67,high,10,72,89
226,Усенов Канат,22,female,100,98,72,low,10,79,62
227,Жумабаев Эрмек,25,female,74,82,95,high,6,70,91
228,Кубатбеков Айжан,21,male,56,81,68,high,9,100,60
229,Сариев Жанат,22,male,72,62,77,high,6,95,82
230,Шаршенов Назгуль,23,male,80,94,74,high,2,59,83
231,Асанов Нурлан,19,male,63,96,97,medium,6,80,61
232,Исмаилов Канат,23,female,76,92,58,low,10,89,97
233,Асанов Нурлан,20,male,73,92,65,medium,7,70,67
234,Асанов Эльмира,22,male,59,70,80,low,1,77,51
235,Кубатбеков Тимур,20,male,58,59,56,medium,4,52,100
236,Шаршенов Назгуль,25,male,83,58,91,low,8,59,87
237,Кубатбеков Нурлан,24,female,74,67,54,high,8,89,86
238,Сариев Айбек,24,female,76,67,54,low,5,73,91
239,Бекмурзаев Эрмек,23,female,77,85,76,low,1,69,68
240,Шаршенов Жамиля,19,female,51,59,82,low,4,69,56
241,Асанов Азиз,21,female,90,54,68,low,3,86,60
242,Бекмурзаев Жанат,19,female,89,90,74,high,3,88,94
243,Асанов Айбек,20,male,76,76,54,medium,8,60,95
244,Кубатбеков Бегимай,22,male,52,54,87,medium,2,72,99
245,Асанов Назгуль,25,male,98,86,87,low,0,86,89
246,Исмаилов Бакыт,23,female,74,69,76,high,3,59,52
247,Кубатбеков Канат,21,female,84,77,100,high,10,81,69
248,Усенов Жанат,24,female,80,92,63,high,8,92,74
249,Усенов Назгуль,24,male,79,94,55,high,9,96,81
250,Исмаилов Рустам,23,male,90,50,60,high,4,56,67
251,Кубатбеков Жанара,20,female,79,84,84,medium,7,61,93
252,Асанов Марат,25,male,68,82,96,low,5,62,99
253,Сариев Айбек,25,male,77,98,76,medium,8,75,51
254,Бекмурзаев Азиз,24,female,65,59,63,high,1,93,58
255,Жумабаев Гулнара,19,male,79,100,54,medium,7,98,86
256,Жумабаев Рустам,19,female,67,66,54,high,3,89,57
257,Исмаилов Рустам,20,male,98,66,94,high,10,55,50
258,Исмаилов Бакыт,20,female,81,86,56,high,2,51,62
259,Токтосунов Айжан,20,male,66,85,88,medium,4,55,76
260,Токтосунов Айбек,21,male,53,87,98,low,0,66,97
261,Кубатбеков Жанат,21,male,99,59,90,high,1,51,98
262,Шаршенов Бакыт,21,male,75,67,65,low,9,70,73
263,Кудайбергенов Жамиля,19,female,94,69,70,low,1,93,57
264,Усенов Айжан,19,male,89,76,72,high,6,87,72
265,Жумабаев Рустам,25,male,86,96,59,high,4,59,97
266,Исмаилов Жамиля,18,male,83,50,79,low,10,57,78
267,Усенов Жамиля,24,male,51,65,95,high,10,50,96
268,Сариев Жанат,21,female,88,68,71,high,6,79,78
269,Кубатбеков Асель,19,female,68,58,72,high,5,88,78
270,Шаршенов Назгуль,19,male,66,87,100,low,1,77,80
271,Шаршенов Гулнара,21,female,74,77,74,high,1,78,57
272,Кудайбергенов Жамиля,20,female,84,77,65,low,2,59,54
273,Усенов Жанат,20,female,82,77,58,high,8,69,99
274,Бекмурзаев Эльмира,22,male,67,83,100,medium,0,50,77
275,Усенов Айгуль,24,female,95,68,77,low,9,70,77
276,Шаршенов Жамиля,20,male,91,100,77,low,4,58,87
277,Шаршенов Нурлан,25,male,54,96,58,medium,2,91,56
278,Шаршенов Жанара,19,male,56,79,53,low,2,58,85
279,Жумабаев Гулнара,22,female,59,72,98,low,3,96,97
280,Усенов Бегимай,22,female,62,82,57,high,6,91,99
281,Кубатбеков Айгуль,23,male,79,66,72,low,6,81,65
282,Бекмурзаев Жанат,20,male,92,76,59,medium,4,51,53
283,Кубатбеков Нурлан,21,male,51,60,61,low,1,89,99
284,Кудайбергенов Жамиля,21,female,62,82,68,high,3,62,99
285,Исмаилов Назгуль,19,female,94,99,50,low,0,80,98
286,Бекмурзаев Эльмира,23,male,78,81,74,medium,7,84,77
287,Сариев Асель,25,female,66,74,99,high,8,87,93
288,Токтосунов Нурлан,23,female,59,88,97,high,4,67,61
289,Бекмурзаев Кундуз,24,male,94,90,72,medium,4,79,81
290,Токтосунов Эльмира,25,male,52,78,64,high,10,66,55
291,Кубатбеков Айгуль,20,male,57,88,60,low,4,100,90
292,Кудайбергенов Жанат,21,male,70,52,77,high,6,96,73
293,Токтосунов Кундуз,21,male,71,76,94,low,1,94,69
294,Усенов Жанара,22,female,55,96,83,high,9,87,50
295,Жумабаев Рустам,19,female,57,97,92,medium,7,66,70
296,Усенов Асель,24,female,91,82,50,high,4,57,69
297,Кубатбеков Асель,22,female,91,74,50,low,5,60,77
298,Усенов Айжан,23,female,78,77,96,medium,2,72,93
299,Бекмурзаев Жанат,24,male,96,99,77,low,4,92,65
300,Кудайбергенов Жамиля,21,male,66,79,65,low,3,61,61
301,Асанов Рустам,24,female,52,84,85,low,4,73,95
302,Сариев Бегимай,23,male,96,81,82,medium,5,98,57
303,Шаршенов Бакыт,25,male,65,58,97,high,2,57,82
304,Асанов Эрмек,24,male,53,74,86,low,0,90,60
305,Усенов Назгуль,23,male,61,66,76,high,1,67,57
306,Жумабаев Эльмира,22,male,91,58,97,medium,9,69,66
307,Кубатбеков Канат,25,male,51,93,75,high,4,82,96
308,Токтосунов Азиз,24,male,80,93,97,low,1,57,56
309,Асанов Эрмек,21,female,99,94,80,low,8,62,100
310,Исмаилов Кундуз,23,female,62,97,97,high,9,69,91
311,Усенов Эрмек,23,female,99,71,80,medium,5,95,96
312,Исмаилов Тимур,19,female,63,87,62,low,5,51,94
313,Кубатбеков Жамиля,23,female,92,51,84,low,8,68,67
314,Жумабаев Рустам,23,male,55,76,87,high,1,52,51
315,Кубатбеков Айжан,23,female,52,55,58,medium,7,96,79
316,Шаршенов Назгуль,18,male,72,83,98,high,6,50,61
317,Бекмурзаев Гулнара,22,male,62,79,61,high,2,90,51
318,Бекмурзаев Тимур,20,male,63,95,63,medium,2,95,98
319,Сариев Жанара,20,female,78,92,87,medium,6,79,52
320,Сариев Эрмек,22,male,88,62,66,high,10,53,79
321,Асанов Айгуль,18,female,62,94,74,high,2,87,89
322,Кудайбергенов Кундуз,20,female,65,61,91,low,9,100,59
323,Токтосунов Айбек,18,male,81,72,66,low,6,76,87
324,Кудайбергенов Марат,24,male,60,68,68,medium,5,66,67
325,Кудайбергенов Бакыт,23,male,94,50,61,low,9,77,69
326,Жумабаев Жамиля,22,male,63,85,91,medium,3,63,94
327,Усенов Рустам,21,male,60,71,60,high,0,97,77
328,Бекмурзаев Жамиля,22,male,71,55,51,medium,8,97,87
329,Асанов Тимур,22,male,60,91,65,high,10,78,59
330,Шаршенов Айжан,24,male,81,86,83,high,8,90,54
331,Токтосунов Айжан,20,female,57,67,59,medium,5,83,85
332,Кудайбергенов Айжан,18,male,63,59,58,high,8,54,100
333,Кудайбергенов Нурлан,22,female,94,58,69,low,2,64,50
334,Токтосунов Эльмира,23,male,60,100,63,high,3,62,51
335,Жумабаев Гулнара,25,female,79,51,93,high,0,91,91
336,Жумабаев Эльмира,23,female,51,56,52,low,7,69,64
337,Токтосунов Айжан,19,female,78,71,79,high,7,55,100
338,Исмаилов Марат,20,male,97,98,82,high,7,87,54
339,Кубатбеков Айбек,25,female,67,81,88,high,0,75,99
340,Токтосунов Тимур,25,male,60,50,92,medium,4,54,58
341,Жумабаев Назгуль,20,male,71,89,90,medium,0,95,87
342,Исмаилов Айжан,19,male,88,97,95,medium,0,79,93
343,Асанов Гулнара,23,female,51,70,100,medium,10,89,80
344,Кубатбеков Эрмек,18,male,82,88,58,high,6,54,76
345,Усенов Нурлан,24,female,76,76,73,low,2,99,64
346,Токтосунов Нурлан,20,male,81,61,77,low,4,88,93
347,Кубатбеков Эрмек,21,male,80,100,71,low,5,54,70
348,Кудайбергенов Айжан,25,male,59,82,88,low,0,55,85
349,Асанов Жанара,21,male,56,79,62,medium,2,67,56
350,Шаршенов Тимур,21,male,50,71,58,low,10,70,73
351,Кубатбеков Бегимай,22,female,85,60,95,high,0,53,100
352,Шаршенов Кундуз,23,female,54,75,54,low,6,57,88
353,Исмаилов Асель,19,male,98,97,57,high,9,73,55
354,Кубатбеков Марат,25,male,67,93,76,medium,3,81,50
355,Бекмурзаев Жанара,25,male,53,77,53,low,3,69,94
356,Кубатбеков Азиз,20,female,61,93,59,medium,2,90,81
357,Усенов Бакыт,23,female,70,94,55,high,1,55,63
358,Исмаилов Кундуз,19,female,83,61,74,medium,2,91,63
359,Сариев Бакыт,18,female,50,73,76,medium,1,75,53
360,Бекмурзаев Гулнара,25,male,59,68,90,low,7,56,51
361,Кубатбеков Асель,21,male,81,79,94,medium,10,73,85
362,Усенов Назгуль,21,male,73,62,91,low,7,75,64
363,Бекмурзаев Азиз,22,female,79,58,56,low,10,61,55
364,Кубатбеков Эльмира,21,female,55,85,78,low,2,97,73
365,Исмаилов Марат,23,male,95,62,66,medium,3,89,69
366,Исмаилов Айгуль,20,female,65,56,84,medium,5,51,65
367,Кудайбергенов Кундуз,22,female,79,99,86,high,0,92,51
368,Токтосунов Кундуз,20,male,61,63,80,low,8,90,53
369,Кудайбергенов Назгуль,21,male,61,83,95,medium,5,72,100
370,Усенов Азиз,24,female,86,66,67,high,0,100,52
371,Токтосунов Назгуль,18,female,99,97,57,high,8,90,60
372,Усенов Азиз,18,male,80,62,60,high,8,100,79
373,Кудайбергенов Тимур,21,female,67,100,85,high,10,66,95
374,Усенов Бегимай,22,female,98,95,90,low,2,69,84
375,Кудайбергенов Жанат,25,male,62,97,92,high,9,91,86
376,Токтосунов Рустам,25,female,99,87,54,medium,1,58,98
377,Токтосунов Эрмек,18,female,53,92,96,medium,4,95,71
378,Усенов Канат,19,female,70,87,79,medium,6,95,51
379,Кудайбергенов Назгуль,22,male,64,100,75,high,4,85,61
380,Кубатбеков Эрмек,23,male,69,89,91,high,8,58,63
381,Усенов Кундуз,20,male,68,100,81,high,1,99,99
382,Кудайбергенов Жанат,22,female,58,65,67,high,2,78,84
383,Кубатбеков Назгуль,18,male,81,92,76,low,8,92,98
384,Кудайбергенов Кундуз,23,female,77,71,85,high,8,51,85
385,Кудайбергенов Айжан,23,male,51,82,84,medium,0,94,69
386,Жумабаев Асель,20,female,56,76,85,low,9,52,85
387,Бекмурзаев Тимур,24,female,97,73,77,low,4,77,66
388,Шаршенов Бакыт,20,male,57,98,68,high,7,50,63
389,Исмаилов Нурлан,18,female,97,63,83,medium,8,81,60
390,Усенов Бакыт,22,male,53,67,54,low,1,92,96
391,Жумабаев Эльмира,20,female,64,99,58,low,5,92,52
392,Токтосунов Жанат,23,male,97,81,51,high,10,70,76
393,Кубатбеков Эрмек,21,female,62,86,65,low,6,51,63
394,Исмаилов Эльмира,23,male,54,67,91,medium,9,91,51
395,Жумабаев Бакыт,21,female,74,97,76,low,5,54,69
396,Токтосунов Тимур,23,male,97,58,53,high,7,67,89
397,Токтосунов Жамиля,21,female,68,68,83,high,1,57,51
398,Токтосунов Гулнара,22,female,76,88,74,high,10,68,72
399,Бекмурзаев Айбек,19,female,99,85,51,medium,4,69,100
400,Жумабаев Асель,18,male,58,90,59,low,8,98,70
401,Бекмурзаев Бегимай,25,female,63,94,61,medium,7,57,83
402,Кудайбергенов Кундуз,21,female,82,64,83,high,5,88,65
403,Бекмурзаев Жанара,19,male,84,90,73,low,1,74,92
404,Усенов Марат,23,female,73,73,91,medium,1,54,63
405,Токтосунов Рустам,21,female,97,72,70,high,0,68,83
406,Токтосунов Айжан,25,female,99,56,68,low,1,79,63
407,Жумабаев Жамиля,20,male,65,83,58,low,8,71,85
408,Токтосунов Канат,21,male,74,73,83,high,4,50,90
409,Сариев Рустам,18,male,87,59,73,high,6,63,76
410,Усенов Кундуз,24,male,99,65,63,high,6,75,68
411,Сариев Рустам,25,male,63,91,55,low,6,91,74
412,Токтосунов Айгуль,25,female,51,67,62,low,0,89,99
413,Кудайбергенов Марат,20,female,57,53,80,medium,9,82,60
414,Кубатбеков Марат,18,male,55,76,56,medium,6,67,92
415,Усенов Асель,23,female,91,88,69,low,1,78,56
416,Токтосунов Асель,24,female,68,51,75,medium,8,50,61
417,Сариев Жанара,21,female,61,57,97,high,3,54,79
418,Кубатбеков Бакыт,25,male,51,59,65,low,6,81,79
419,Шаршенов Рустам,21,female,60,68,89,high,5,86,68
420,Кудайбергенов Жанат,21,female,96,74,77,low,9,90,90
421,Сариев Азиз,19,male,82,51,76,medium,9,57,91
422,Исмаилов Бегимай,18,female,50,94,90,low,7,94,69
423,Кубатбеков Рустам,20,female,81,100,98,medium,4,60,89
424,Жумабаев Бегимай,20,female,77,96,88,medium,2,79,52
425,Жумабаев Бегимай,18,male,88,100,89,high,6,70,56
426,Асанов Рустам,22,male,52,93,55,medium,9,59,57
427,Жумабаев Айбек,21,female,100,61,91,high,6,57,61
428,Жумабаев Нурлан,23,male,97,99,73,high,3,85,88
429,Усенов Кундуз,20,male,86,81,77,low,6,97,100
430,Усенов Бегимай,20,male,81,87,83,low,0,74,92
431,Кубатбеков Жамиля,23,female,89,94,53,low,8,55,97
432,Усенов Марат,23,female,60,62,51,high,5,61,85
433,Исмаилов Асель,23,female,59,86,77,low,1,64,89
434,Усенов Жамиля,23,female,88,86,77,low,0,61,88
435,Усенов Жамиля,21,female,59,77,73,low,2,62,65
436,Бекмурзаев Айбек,19,male,77,96,67,low,9,53,79
437,Кубатбеков Жанат,18,female,84,54,70,high,8,89,75
438,Кудайбергенов Айгуль,22,male,69,59,52,medium,5,78,84
439,Бекмурзаев Жанат,23,female,95,61,96,low,0,98,69
