id,fullname,age,gender,math_grade,literature_grade,attendance,participation,homework,midterm_grade,final_grade
89,Сариев Айбек,19,female,97,70,98,medium,3,66,64
90,Жумабаев Кундуз,21,female,52,50,57,medium,8,76,92
91,Усенов Жанара,21,female,57,98,70,high,3,98,53
92,Жумабаев Нурлан,19,male,51,87,82,high,1,65,76
93,Бекмурзаев Нурлан,20,male,52,71,51,low,7,74,70
94,Сариев Эрмек,18,female,73,58,95,high,5,82,58
95,Исмаилов Жанара,25,male,91,66,51,high,2,78,74
96,Асанов Кундуз,18,male,55,59,57,medium,8,84,63
97,Шаршенов Айбек,21,female,72,76,77,high,8,55,60
98,Сариев Нурлан,21,female,80,86,78,medium,2,86,93
99,Кубатбеков Гулнара,20,male,79,99,86,low,4,64,65
100,Исмаилов Рустам,22,male,62,52,52,low,7,70,50
101,Кубатбеков Айбек,19,female,87,92,74,low,8,57,60
102,Токтосунов Асель,20,female,74,99,71,high,1,99,99
103,Кубатбеков Эльмира,20,male,57,58,89,low,2,96,54
104,Исмаилов Тимур,21,male,68,73,75,high,10,52,84
105,Сариев Жамиля,25,female,57,88,76,low,3,62,60
106,Кудайбергенов Айбек,25,male,80,70,100,medium,3,100,79
107,Кубатбеков Канат,19,female,64,67,69,high,7,62,82
108,Кубатбеков Айжан,22,male,59,57,100,low,5,56,60
109,Жумабаев Бегимай,19,female,96,71,66,medium,0,63,100
110,Сариев Айжан,24,male,58,71,76,high,7,84,66
111,Бекмурзаев Эрмек,25,male,64,56,56,medium,1,73,60
112,Шаршенов Айгуль,22,female,57,58,89,medium,4,92,83
113,Кубатбеков Канат,24,female,88,91,51,medium,8,100,90
114,Токтосунов Жанат,21,male,80,75,77,low,3,53,58
115,Бекмурзаев Бакыт,22,female,87,52,83,medium,0,51,94
116,Жумабаев Кундуз,22,female,51,56,67,medium,5,71,65
117,Жумабаев Кундуз,25,male,72,57,77,high,10,98,100
118,Жумабаев Бегимай,19,female,73,84,67,medium,10,84,99
119,Токтосунов Назгуль,23,male,58,62,79,medium,10,71,96
120,Кудайбергенов Жанат,25,male,88,76,51,medium,10,93,89
121,Шаршенов Азиз,22,male,60,89,99,low,6,73,68
122,Исмаилов Нурлан,19,male,68,54,72,high,1,98,98
123,Токтосунов Айгуль,21,female,99,73,86,high,10,72,85
124,Бекмурзаев Бакыт,24,male,52,91,84,medium,6,90,70
125,Кудайбергенов Жамиля,20,male,85,84,63,low,7,53,51
126,Токтосунов Бегимай,21,male,63,67,96,medium,8,67,78
127,Сариев Эльмира,18,male,57,57,79,medium,8,72,82
128,Жумабаев Бегимай,24,female,50,90,54,high,10,57,67
129,Исмаилов Нурлан,22,male,61,93,56,high,5,52,77
130,Кудайбергенов Марат,20,female,60,87,91,low,0,70,80
131,Исмаилов Эльмира,23,male,59,80,72,low,6,81,94
132,Кудайбергенов Гулнара,19,female,50,67,88,high,7,66,100
133,Жумабаев Тимур,22,female,95,55,56,high,5,64,89
134,Токтосунов Айжан,18,male,94,90,50,medium,9,50,81
135,Кудайбергенов Нурлан,20,male,72,65,54,medium,7,92,68
136,Жумабаев Бакыт,23,female,58,84,72,high,0,75,81
137,Сариев Азиз,18,female,78,88,94,low,8,82,75
138,Бекмурзаев Эльмира,25,male,99,66,58,medium,10,62,65
139,Исмаилов Эльмира,25,male,54,85,74,high,1,70,90
140,Шаршенов Марат,21,female,86,85,55,low,6,71,68
141,Усенов Бегимай,23,female,54,77,74,low,3,71,68
142,Кубатбеков Кундуз,23,female,92,92,94,medium,0,97,60
143,Бекмурзаев Тимур,21,female,93,73,85,low,5,83,77
144,Бекмурзаев Айжан,21,female,87,69,72,low,0,95,55
145,Шаршенов Бакыт,23,male,100,69,65,low,2,96,84
146,Токтосунов Эльмира,20,male,75,62,64,medium,5,96,68
147,Токтосунов Эльмира,25,male,70,84,52,medium,0,68,70
148,Токтосунов Эльмира,23,female,96,74,56,low,0,74,58
149,Шаршенов Гулнара,22,female,59,55,70,medium,6,60,100
150,Бекмурзаев Нурлан,23,male,68,59,50,medium,5,62,86
151,Асанов Асель,24,female,61,67,68,low,7,71,68
152,Токтосунов Жамиля,18,female,98,51,91,high,5,63,77
153,Усенов Бакыт,24,male,87,81,84,medium,8,62,94
154,Кубатбеков Бакыт,22,female,72,58,84,medium,0,50,87
155,Кубатбеков Бегимай,22,female,71,60,68,medium,2,80,89
156,Жумабаев Жанара,20,female,84,59,98,high,2,55,90
157,Усенов Жанат,25,male,61,81,87,high,2,75,64
158,Кубатбеков Айжан,20,female,64,73,81,medium,5,78,75
159,Шаршенов Айбек,20,female,66,69,59,high,10,100,50
160,Асанов Гулнара,22,female,94,64,89,low,4,61,100
161,Шаршенов Айбек,24,male,91,96,98,low,5,66,98
162,Усенов Рустам,23,male,57,85,56,high,5,98,83
163,Усенов Марат,25,female,64,64,91,high,9,57,93
164,Кудайбергенов Жанат,19,female,78,78,67,medium,8,92,84
165,Исмаилов Айбек,24,female,93,56,60,high,3,63,89
166,Жумабаев Назгуль,19,female,71,65,60,low,4,77,80
167,Усенов Марат,19,male,88,97,90,low,3,82,77
168,Токтосунов Рустам,19,male,61,59,98,high,7,92,78
169,Исмаилов Марат,23,male,86,70,59,medium,3,74,60
170,Асанов Марат,25,female,91,66,53,high,4,92,89
171,Жумабаев Жамиля,22,male,72,57,75,low,9,89,75
172,Кубатбеков Айжан,22,female,74,89,66,medium,3,59,79
173,Шаршенов Бакыт,18,male,73,69,69,low,5,58,85
174,Шаршенов Азиз,18,male,77,90,64,high,3,85,97
175,Исмаилов Канат,25,female,69,53,93,high,6,72,65
176,Жумабаев Бакыт,25,female,51,60,68,high,1,95,72
177,Сариев Бегимай,21,female,76,51,62,medium,8,52,93
178,Исмаилов Айбек,21,female,70,95,50,medium,9,69,70
179,Бекмурзаев Эрмек,18,female,51,56,99,medium,7,71,94
180,Кубатбеков Айжан,22,female,54,92,82,medium,9,71,90
181,Исмаилов Айгуль,18,male,76,97,52,medium,5,63,90
182,Кудайбергенов Айжан,23,female,94,97,68,medium,9,93,66
183,Исмаилов Жанара,23,female,60,92,82,high,3,93,57
184,Исмаилов Эрмек,23,female,60,54,98,high,4,60,93
185,Кудайбергенов Жанат,19,female,64,98,82,medium,1,81,77
186,Шаршенов Эльмира,21,male,71,93,76,high,7,82,65
187,Кудайбергенов Бакыт,25,female,90,90,59,low,7,73,74
188,Сариев Кундуз,20,male,84,63,77,medium,2,65,88
189,Сариев Гулнара,20,female,63,52,75,high,7,96,95
190,Шаршенов Марат,25,male,61,94,92,low,10,59,97
191,Сариев Бакыт,23,male,65,71,78,medium,7,96,95
192,Токтосунов Жанара,18,female,90,69,60,medium,7,93,82
193,Кубатбеков Бакыт,19,male,84,64,60,low,3,56,95
194,Асанов Айгуль,25,female,50,64,63,high,2,50,89
195,Сариев Асель,22,female,54,71,87,high,4,81,69
196,Бекмурзаев Жамиля,25,male,63,94,99,low,1,92,90
197,Бекмурзаев Марат,19,female,79,99,93,low,5,78,98
198,Токтосунов Марат,22,male,79,94,74,medium,4,77,98
199,Бекмурзаев Бегимай,23,female,68,84,98,high,3,75,66
200,Токтосунов Айжан,21,female,71,75,55,medium,10,91,64
201,Кубатбеков Тимур,19,female,74,58,67,low,1,59,83
202,Бекмурзаев Канат,22,male,77,76,92,low,6,90,98
203,Жумабаев Кундуз,25,male,73,92,64,medium,8,54,51
204,Кудайбергенов Айгуль,24,male,68,78,85,low,0,64,93
205,Токтосунов Азиз,25,female,70,87,67,medium,3,57,83
206,Усенов Кундуз,25,female,79,60,98,low,6,100,69
207,Исмаилов Тимур,19,male,59,93,99,high,4,82,62
208,Шаршенов Жамиля,24,male,66,59,69,low,3,96,60
209,Жумабаев Азиз,22,female,56,50,57,low,6,74,97
210,Токтосунов Жанара,25,female,86,59,85,medium,8,75,65
211,Жумабаев Марат,23,male,54,99,67,low,5,82,97
212,Токтосунов Жамиля,22,male,68,85,52,high,3,64,83
213,Усенов Бегимай,25,female,90,55,54,high,8,79,66
214,Исмаилов Айгуль,25,female,79,55,59,low,4,91,78
215,Исмаилов Жамиля,22,male,84,83,75,high,3,79,82
216,Бекмурзаев Бакыт,22,male,67,88,58,low,4,77,76
217,Бекмурзаев Бегимай,18,female,80,90,69,high,4,65,51
218,Кудайбергенов Марат,20,female,85,93,74,high,1,64,57
219,Усенов Тимур,19,male,83,58,100,medium,0,60,64
220,Кубатбеков Азиз,25,male,61,82,78,medium,6,73,77
221,Исмаилов Назгуль,18,male,96,71,57,low,5,67,88
222,Усенов Бегимай,25,male,74,80,60,low,1,72,51
223,Шаршенов Рустам,20,male,56,61,74,high,4,50,80
224,Кудайбергенов Нурлан,21,female,63,51,51,medium,3,59,75
225,Асанов Назгуль,23,male,51,64,61,high,9,92,69
226,Асанов Тимур,22,female,87,74,91,low,9,80,82
227,Бекмурзаев Эрмек,21,female,60,74,50,low,3,88,92
228,Сариев Жамиля,21,male,63,77,62,high,3,85,67
229,Бекмурзаев Марат,19,male,67,93,61,low,7,84,58
230,Бекмурзаев Нурлан,25,female,67,61,89,medium,9,100,52
231,Жумабаев Нурлан,20,male,86,75,80,low,7,99,77
232,Сариев Жамиля,19,male,75,58,78,medium,1,66,51
233,Сариев Эльмира,18,female,99,57,80,low,3,60,62
234,Шаршенов Бегимай,21,male,85,79,92,high,1,55,78
235,Шаршенов Марат,22,male,85,88,79,low,8,73,53
236,Сариев Айгуль,20,male,65,93,81,low,4,85,54
237,Кубатбеков Нурлан,18,female,89,65,80,low,9,69,85
238,Усенов Айжан,22,male,95,99,54,low,5,50,66
239,Токтосунов Бегимай,21,female,82,65,94,medium,7,66,50
240,Бекмурзаев Канат,19,male,78,71,78,medium,2,88,82
241,Шаршенов Эрмек,24,male,67,66,97,medium,1,52,92
242,Сариев Айбек,25,female,55,87,57,low,6,71,71
243,Жумабаев Айбек,18,male,55,52,84,low,0,100,69
244,Бекмурзаев Нурлан,23,male,96,75,94,low,2,70,68
245,Жумабаев Назгуль,25,male,81,63,56,medium,2,93,50
246,Кубатбеков Бегимай,19,male,97,73,61,low,5,65,79
247,Усенов Марат,24,female,99,63,79,high,6,95,81
248,Исмаилов Гулнара,25,male,58,50,100,medium,8,96,82
249,Кудайбергенов Бегимай,23,female,64,95,71,low,5,98,90
250,Асанов Рустам,22,male,92,99,72,medium,1,89,85
251,Шаршенов Айгуль,24,female,85,56,61,low,5,71,88
252,Сариев Асель,23,female,58,99,50,low,6,93,99
253,Кудайбергенов Эльмира,20,male,95,54,65,medium,4,96,100
254,Исмаилов Кундуз,18,female,78,96,62,low,10,71,50
255,Сариев Рустам,23,male,74,87,74,low,6,60,58
256,Кубатбеков Нурлан,25,female,53,82,97,low,0,58,96
257,Асанов Асель,19,male,90,80,56,high,4,65,71
258,Асанов Жамиля,20,male,81,60,74,medium,8,85,88
259,Кудайбергенов Жанара,18,female,50,100,79,high,3,73,50
260,Исмаилов Кундуз,20,female,89,95,67,low,5,61,97
261,Шаршенов Айбек,23,male,97,62,56,low,5,56,91
262,Токтосунов Канат,20,female,52,73,84,high,4,66,50
263,Бекмурзаев Тимур,25,female,58,57,54,low,3,87,50
264,Исмаилов Назгуль,25,female,51,80,65,high,8,58,99
265,Исмаилов Жанара,18,male,75,99,89,medium,1,75,100
266,Исмаилов Рустам,19,female,95,65,89,high,3,97,60
267,Кудайбергенов Асель,24,male,61,68,96,low,6,51,51
268,Шаршенов Марат,21,female,56,85,70,low,10,93,67
269,Исмаилов Жанат,20,female,100,80,56,low,5,90,87
270,Жумабаев Гулнара,24,male,74,91,63,high,10,66,81
271,Сариев Жанара,24,male,64,65,99,low,8,98,64
272,Жумабаев Жанат,25,male,50,73,55,medium,10,70,50
273,Исмаилов Рустам,23,male,72,96,74,low,10,99,66
274,Шаршенов Бакыт,24,male,68,59,55,high,8,50,53
275,Токтосунов Жанара,18,male,60,57,87,high,2,56,94
276,Жумабаев Эльмира,21,male,51,82,57,high,4,100,96
277,Жумабаев Айбек,21,male,66,76,90,low,7,78,71
278,Шаршенов Гулнара,20,male,67,95,94,high,6,85,50
279,Усенов Нурлан,18,female,94,100,84,medium,9,94,61
280,Шаршенов Жанара,18,female,62,90,66,low,5,98,73
281,Бекмурзаев Айгуль,24,female,76,98,84,low,10,83,73
282,Усенов Жанат,20,male,94,77,52,low,1,86,64
283,Асанов Азиз,20,male,100,59,95,medium,3,53,73
284,Кубатбеков Марат,25,female,92,89,75,high,8,60,100
285,Исмаилов Жанат,24,female,89,95,83,medium,4,52,96
286,Кудайбергенов Нурлан,23,female,60,95,82,high,5,78,95
287,Усенов Рустам,18,male,68,98,75,medium,10,90,50
288,Сариев Азиз,21,female,73,54,79,low,9,98,88
289,Токтосунов Бегимай,19,male,52,84,98,high,0,57,54
290,Кудайбергенов Айбек,18,male,72,69,73,low,5,64,93
291,Исмаилов Назгуль,20,male,96,64,83,low,7,70,50
292,Усенов Жамиля,25,female,92,56,51,medium,5,76,76
293,Асанов Тимур,18,female,88,88,64,medium,7,88,87
294,Кубатбеков Марат,22,female,96,63,71,low,4,62,66
295,Кудайбергенов Жанара,21,male,53,74,86,high,2,79,77
296,Кубатбеков Айжан,20,male,62,69,99,high,7,55,81
297,Кудайбергенов Рустам,21,male,67,94,89,low,3,78,96
298,Кудайбергенов Бакыт,25,male,94,88,84,low,10,62,66
299,Кудайбергенов Тимур,22,male,77,74,73,low,5,66,75
300,Асанов Айбек,19,female,90,63,84,high,5,78,56
301,Исмаилов Нурлан,25,male,100,67,85,medium,3,86,83
302,Бекмурзаев Рустам,23,female,68,55,98,low,6,100,82
303,Усенов Айжан,25,male,73,73,50,medium,4,85,85
304,Кубатбеков Тимур,21,female,78,74,91,high,5,63,61
305,Шаршенов Айбек,25,male,69,84,89,low,3,69,98
306,Кубатбеков Асель,20,female,51,66,59,low,3,60,71
307,Усенов Бакыт,25,female,69,57,85,low,10,53,68
308,Асанов Айгуль,18,male,82,97,62,low,3,78,94
309,Токтосунов Бегимай,21,male,51,89,80,low,5,92,66
310,Жумабаев Канат,21,female,93,90,92,medium,0,98,95
311,Исмаилов Азиз,25,male,97,79,51,high,0,76,85
312,Кудайбергенов Жамиля,24,female,51,90,94,low,6,53,50
313,Асанов Бегимай,19,female,59,80,100,medium,4,60,50
314,Бекмурзаев Азиз,18,female,86,96,55,low,9,60,94
315,Исмаилов Канат,18,female,75,76,92,high,5,80,51
316,Жумабаев Эрмек,22,female,64,70,95,medium,4,82,98
317,Сариев Марат,18,female,83,62,99,high,3,84,95
318,Токтосунов Кундуз,20,male,58,78,61,medium,8,76,66
319,Шаршенов Кундуз,20,male,89,64,64,medium,1,60,82
320,Жумабаев Айгуль,20,male,92,97,63,low,6,54,66
321,Кудайбергенов Айжан,20,female,65,79,75,high,10,72,57
322,Кудайбергенов Нурлан,25,female,77,84,93,high,5,96,56
323,Кубатбеков Бакыт,24,female,58,91,97,low,6,68,85
324,Асанов Тимур,24,female,62,58,54,high,1,65,89
325,Кудайбергенов Жамиля,20,male,97,81,66,high,9,68,51
326,Шаршенов Айжан,22,female,95,61,80,high,9,52,71
327,Исмаилов Жанат,20,female,78,75,77,medium,4,73,78
328,Жумабаев Канат,24,female,83,73,57,medium,9,68,67
329,Кудайбергенов Назгуль,23,female,76,74,64,medium,10,88,56
330,Кубатбеков Айгуль,25,female,94,69,92,low,2,67,60
331,Шаршенов Асель,23,male,70,94,96,medium,2,75,58
332,Кудайбергенов Гулнара,19,male,74,89,100,high,5,76,62
333,Кубатбеков Жанара,20,female,85,87,65,low,5,93,72
334,Усенов Тимур,25,male,72,78,66,high,0,99,58
335,Кубатбеков Рустам,25,female,88,79,62,medium,9,66,95
336,Сариев Бегимай,23,male,57,65,52,high,9,85,54
337,Сариев Асель,19,female,71,66,50,medium,7,90,58
338,Кубатбеков Жанара,18,female,54,71,55,high,3,79,56
339,Кудайбергенов Назгуль,18,female,100,88,50,high,5,98,51
340,Усенов Жамиля,19,female,53,83,56,high,5,62,56
341,Кудайбергенов Эрмек,23,male,70,64,75,low,2,71,52
342,Усенов Кундуз,18,male,62,74,51,low,5,55,70
343,Бекмурзаев Асель,21,male,81,75,66,low,9,85,89
344,Кудайбергенов Марат,21,male,68,52,84,medium,6,92,85
345,Кудайбергенов Айгуль,24,male,86,97,85,high,10,60,53
346,Кудайбергенов Эльмира,21,female,66,96,65,medium,5,75,81
347,Сариев Тимур,18,male,73,81,95,low,8,70,68
348,Бекмурзаев Жамиля,19,male,96,54,95,medium,10,94,57
349,Токтосунов Бакыт,21,male,98,51,87,medium,9,89,86
350,Исмаилов Асель,21,male,53,74,64,medium,7,54,76
351,Бекмурзаев Гулнара,19,male,92,67,91,low,6,88,86
352,Исмаилов Жанара,25,female,69,90,78,medium,3,54,80
353,Усенов Бакыт,22,female,95,91,79,high,1,58,96
354,Жумабаев Рустам,21,female,54,60,88,high,8,73,67
355,Шаршенов Эльмира,24,female,57,64,87,low,2,100,81
356,Кудайбергенов Эрмек,23,male,51,88,76,medium,0,73,80
357,Исмаилов Бакыт,24,male,61,95,85,medium,5,78,90
358,Токтосунов Азиз,25,male,93,90,69,high,6,74,57
359,Кубатбеков Канат,22,female,71,98,50,medium,4,72,90
360,Асанов Жанат,24,female,99,71,91,low,1,97,56
361,Асанов Жанат,19,female,70,98,85,medium,1,77,99
362,Кудайбергенов Асель,25,female,86,78,94,medium,7,80,97
363,Усенов Бакыт,23,female,72,99,89,high,10,68,81
364,Исмаилов Кундуз,19,male,70,79,73,low,3,80,74
365,Кудайбергенов Жанат,20,female,59,75,96,low,6,95,94
366,Асанов Эльмира,21,male,73,56,78,low,5,88,80
367,Асанов Нурлан,24,female,79,63,90,high,0,85,71
368,Асанов Айжан,21,male,88,84,73,medium,4,50,63
369,Кудайбергенов Бегимай,18,female,72,87,88,high,9,62,94
370,Кубатбеков Тимур,19,male,88,61,63,low,6,71,84
371,Шаршенов Жамиля,21,male,98,62,91,medium,10,67,77
372,Усенов Назгуль,23,male,58,80,95,medium,2,99,96
373,Кубатбеков Назгуль,21,male,52,70,69,low,6,69,92
374,Сариев Жанат,21,female,80,94,97,low,4,77,90
375,Асанов Асель,25,female,66,55,80,low,9,76,99
376,Кудайбергенов Назгуль,22,male,84,88,75,high,4,66,92
377,Жумабаев Кундуз,23,male,74,92,50,medium,1,77,60
378,Сариев Бакыт,18,female,92,69,58,high,2,66,79
379,Сариев Нурлан,18,male,87,82,72,high,6,93,55
380,Исмаилов Асель,18,male,95,60,71,high,2,60,56
381,Исмаилов Жанара,25,female,87,94,83,medium,3,78,53
382,Бекмурзаев Асель,24,female,100,90,100,high,8,55,98
383,Бекмурзаев Гулнара,23,female,51,64,53,low,7,95,86
384,Асанов Канат,22,female,90,99,50,low,4,80,90
385,Кудайбергенов Эрмек,21,male,52,75,56,medium,8,59,94
386,Асанов Марат,25,male,95,84,63,low,10,57,71
387,Асанов Жанара,23,male,55,85,94,medium,2,98,86
388,Сариев Назгуль,24,female,89,88,76,medium,5,95,91
389,Исмаилов Канат,25,male,84,86,55,high,8,77,72
390,Бекмурзаев Азиз,22,female,99,62,86,medium,6,57,50
391,Асанов Асель,22,female,81,66,99,low,8,82,89
392,Исмаилов Канат,19,female,75,76,85,high,10,71,63
393,Сариев Рустам,20,male,83,88,71,low,0,56,73
394,Токтосунов Азиз,24,male,92,80,51,medium,6,60,85
395,Асанов Асель,24,female,53,69,95,high,10,96,99
396,Токтосунов Асель,24,male,94,72,74,medium,8,53,85
397,Жумабаев Назгуль,23,male,66,70,73,medium,6,57,71
398,Исмаилов Жамиля,24,male,54,63,87,low,10,69,87
399,Кубатбеков Бакыт,25,female,68,57,100,high,7,73,73
400,Кудайбергенов Бегимай,20,female,72,93,91,low,1,88,88
401,Шаршенов Эльмира,18,male,57,56,95,low,8,69,76
402,Токтосунов Бегимай,19,female,91,86,84,low,10,99,65
403,Бекмурзаев Канат,22,male,77,94,89,low,6,91,74
404,Сариев Назгуль,18,female,88,57,88,high,6,86,67
405,Сариев Эльмира,24,male,50,99,68,low,8,64,79
406,Шаршенов Азиз,21,male,96,61,96,low,1,74,87
407,Токтосунов Жамиля,23,female,100,88,53,low,10,80,69
408,Жумабаев Марат,22,male,85,99,96,medium,10,76,60
409,Исмаилов Айжан,24,male,54,61,88,medium,5,72,78
410,Бекмурзаев Жанара,21,female,85,74,80,low,4,87,98
411,Исмаилов Азиз,21,male,51,85,90,high,0,83,56
412,Сариев Жанат,19,male,51,63,96,high,1,76,92
413,Жумабаев Марат,22,female,80,59,59,low,0,65,53
414,Исмаилов Марат,18,male,77,51,76,low,1,90,79
415,Бекмурзаев Кундуз,25,male,80,78,87,medium,4,81,72
416,Сариев Асель,23,female,79,63,97,high,1,75,84
417,Жумабаев Асель,19,male,66,62,73,high,8,75,73
418,Сариев Айжан,20,female,60,64,98,low,5,74,62
419,Жумабаев Жанат,24,male,89,84,81,low,8,81,89
420,Усенов Назгуль,23,female,51,71,91,high,10,84,56
421,Жумабаев Жанара,21,female,85,83,54,low,4,86,51
422,Кудайбергенов Жанат,25,male,64,62,83,low,5,92,67
423,Шаршенов Жанара,25,female,65,62,64,high,4,74,79
424,Жумабаев Кундуз,23,male,87,64,98,low,6,80,67
425,Шаршенов Кундуз,20,female,94,98,72,medium,7,82,82
426,Бекмурзаев Асель,20,female,78,81,72,medium,3,51,77
427,Жумабаев Рустам,24,male,72,96,96,medium,8,86,78
428,Исмаилов Бакыт,22,male,85,83,94,medium,5,73,60
429,Исмаилов Айгуль,19,female,96,78,72,low,8,65,79
430,Усенов Нурлан,20,male,71,91,90,high,4,76,51
431,Сариев Асель,25,male,94,61,53,medium,2,72,75
432,Жумабаев Кундуз,24,female,88,77,99,low,2,98,56
433,Кубатбеков Рустам,18,male,88,58,92,low,10,61,72
434,Кудайбергенов Гулнара,19,female,57,96,70,high,7,90,89
435,Кубатбеков Жанат,24,male,81,93,72,medium,4,85,73
436,Бекмурзаев Азиз,23,female,51,80,55,high,5,86,70
437,Кудайбергенов Бегимай,20,female,67,99,54,high,5,93,63
438,Кубатбеков Азиз,20,female,52,87,54,high,8,94,56
439,Шаршенов Эрмек,19,female,93,53,99,medium,3,82,60
